degree	word	coefficient
9	XXYYXXYYY	-1/20160
9	XXYYXYXXY	1/10080
9	XXYYXYXYX	-1/5040
9	XXYYXYXYY	1/10080
9	XXYYXYYXX	1/10080
9	XXYYXYYXY	1/10080
9	XXYYXYYYY	1/40320
9	XXYYYXXXX	-1/60480
9	XXYYYXXXY	-1/30240
9	XXYYYXXYY	-1/20160
9	XXYYYXYYY	-1/30240
9	XXYYYYXXX	-1/60480
9	XXYYYYXXY	1/40320
9	XXYYYYXYX	-1/10080
9	XXYYYYXYY	1/40320
9	XXYYYYYXX	1/33600
9	XXYYYYYXY	1/33600
9	XXYYYYYYX	-1/43200
9	XXYYYYYYY	1/151200
9	XYXXXXXXX	1/151200
9	XYXXXXXXY	-1/43200
9	XYXXXXXYX	1/12600
9	XYXXXXXYY	1/33600
9	XYXXXXYXX	-1/10080
9	XYXXXXYXY	-1/10080
9	XYXXXXYYX	-1/10080
9	XYXXXXYYY	-1/60480
9	XYXXXYXXX	1/7560
9	XYXXXYXYX	1/2520
9	XYXXXYYYX	1/7560
9	XYXXXYYYY	-1/60480
9	XYXXYXXXX	-1/10080
9	XYXXYXXYX	-1/5040
9	XYXXYXXYY	1/10080
9	XYXXYXYXX	-1/5040
9	XYXXYXYXY	-1/5040
9	XYXXYXYYX	-1/5040
9	XYXXYYXXY	1/10080
9	XYXXYYXYX	-1/5040
9	XYXXYYXYY	1/10080
9	XYXXYYYYX	-1/10080
9	XYXXYYYYY	1/33600
9	XYXYXXXXX	1/12600
9	XYXYXXXXY	-1/10080
9	XYXYXXXYX	1/2520
9	XYXYXXYXX	-1/5040
9	XYXYXXYXY	-1/5040
9	XYXYXXYYX	-1/5040
9	XYXYXYXXX	1/2520
9	XYXYXYXXY	-1/5040
9	XYXYXYXYX	1/630
9	XYXYXYXYY	-1/5040
9	XYXYXYYXX	-1/5040
9	XYXYXYYXY	-1/5040
9	XYXYXYYYX	1/2520
9	XYXYXYYYY	-1/10080
9	XYXYYXXXX	-1/10080
9	XYXYYXXYX	-1/5040
9	XYXYYXXYY	1/10080
9	XYXYYXYXX	-1/5040
9	XYXYYXYXY	-1/5040
9	XYXYYXYYX	-1/5040
9	XYXYYYXXX	1/7560
9	XYXYYYXYX	1/2520
9	XYXYYYYXX	-1/10080
9	XYXYYYYXY	-1/10080
9	XYXYYYYYX	1/12600
9	XYXYYYYYY	-1/43200
9	XYYXXXXXX	-1/43200
9	XYYXXXXXY	1/33600
9	XYYXXXXYX	-1/10080
9	XYYXXXXYY	1/40320
9	XYYXXXYYY	-1/30240
9	XYYXXYXXY	1/10080
9	XYYXXYXYX	-1/5040
9	XYYXXYXYY	1/10080
9	XYYXXYYXX	1/10080
9	XYYXXYYXY	1/10080
9	XYYXXYYYY	1/40320
9	XYYXYXXXX	-1/10080
9	XYYXYXXYX	-1/5040
9	XYYXYXXYY	1/10080
9	XYYXYXYXX	-1/5040
9	XYYXYXYXY	-1/5040
9	XYYXYXYYX	-1/5040
9	XYYXYYXXY	1/10080
9	XYYXYYXYX	-1/5040
9	XYYXYYXYY	1/10080
9	XYYXYYYYX	-1/10080
9	XYYXYYYYY	1/33600
9	XYYYXXXXX	1/21600
9	XYYYXXXXY	-1/60480
9	XYYYXXXYX	1/7560
9	XYYYXXXYY	-1/30240
9	XYYYXXYYY	-1/30240
9	XYYYXYXXX	1/7560
9	XYYYXYXYX	1/2520
9	XYYYXYYYX	1/7560
9	XYYYXYYYY	-1/60480
9	XYYYYXXXX	-1/17280
9	XYYYYXXXY	-1/60480
9	XYYYYXXYX	-1/10080
9	XYYYYXXYY	1/40320
9	XYYYYXYXX	-1/10080
9	XYYYYXYXY	-1/10080
9	XYYYYXYYX	-1/10080
9	XYYYYXYYY	-1/60480
9	XYYYYYXXX	1/21600
9	XYYYYYXXY	1/33600
9	XYYYYYXYX	1/12600
9	XYYYYYXYY	1/33600
9	XYYYYYYXX	-1/43200
9	XYYYYYYXY	-1/43200
9	XYYYYYYYX	1/151200
9	XYYYYYYYY	-1/1209600
9	YXXXXXXXX	-1/1209600
9	YXXXXXXXY	1/151200
9	YXXXXXXYX	-1/43200
9	YXXXXXXYY	-1/43200
9	YXXXXXYXX	1/33600
9	YXXXXXYXY	1/12600
9	YXXXXXYYX	1/33600
9	YXXXXXYYY	1/21600
9	YXXXXYXXX	-1/60480
9	YXXXXYXXY	-1/10080
9	YXXXXYXYX	-1/10080
9	YXXXXYXYY	-1/10080
9	YXXXXYYXX	1/40320
9	YXXXXYYXY	-1/10080
9	YXXXXYYYX	-1/60480
9	YXXXXYYYY	-1/17280
9	YXXXYXXXX	-1/60480
9	YXXXYXXXY	1/7560
9	YXXXYXYXY	1/2520
9	YXXXYXYYY	1/7560
9	YXXXYYXXX	-1/30240
9	YXXXYYYXX	-1/30240
9	YXXXYYYXY	1/7560
9	YXXXYYYYX	-1/60480
9	YXXXYYYYY	1/21600
9	YXXYXXXXX	1/33600
9	YXXYXXXXY	-1/10080
9	YXXYXXYXX	1/10080
9	YXXYXXYXY	-1/5040
9	YXXYXXYYX	1/10080
9	YXXYXYXXY	-1/5040
9	YXXYXYXYX	-1/5040
9	YXXYXYXYY	-1/5040
9	YXXYXYYXX	1/10080
9	YXXYXYYXY	-1/5040
9	YXXYXYYYY	-1/10080
9	YXXYYXXXX	1/40320
9	YXXYYXXYX	1/10080
9	YXXYYXXYY	1/10080
9	YXXYYXYXX	1/10080
9	YXXYYXYXY	-1/5040
9	YXXYYXYYX	1/10080
9	YXXYYYXXX	-1/30240
9	YXXYYYYXX	1/40320
9	YXXYYYYXY	-1/10080
9	YXXYYYYYX	1/33600
9	YXXYYYYYY	-1/43200
9	YXYXXXXXX	-1/43200
9	YXYXXXXXY	1/12600
9	YXYXXXXYX	-1/10080
9	YXYXXXXYY	-1/10080
9	YXYXXXYXY	1/2520
9	YXYXXXYYY	1/7560
9	YXYXXYXXY	-1/5040
9	YXYXXYXYX	-1/5040
9	YXYXXYXYY	-1/5040
9	YXYXXYYXX	1/10080
9	YXYXXYYXY	-1/5040
9	YXYXXYYYY	-1/10080
9	YXYXYXXXX	-1/10080
9	YXYXYXXXY	1/2520
9	YXYXYXXYX	-1/5040
9	YXYXYXXYY	-1/5040
9	YXYXYXYXX	-1/5040
9	YXYXYXYXY	1/630
9	YXYXYXYYX	-1/5040
9	YXYXYXYYY	1/2520
9	YXYXYYXXY	-1/5040
9	YXYXYYXYX	-1/5040
9	YXYXYYXYY	-1/5040
9	YXYXYYYXY	1/2520
9	YXYXYYYYX	-1/10080
9	YXYXYYYYY	1/12600
9	YXYYXXXXX	1/33600
9	YXYYXXXXY	-1/10080
9	YXYYXXYXX	1/10080
9	YXYYXXYXY	-1/5040
9	YXYYXXYYX	1/10080
9	YXYYXYXXY	-1/5040
9	YXYYXYXYX	-1/5040
